Table S10. Characteristics of the 28,947 TEs annotated in the 47 genomes analyzed in this work that were transfered to the reference genome. "TEs used in the site frequency spectrum (SFS) analysis" are the result of filtering out the insertions < 120bp long  (28,365 TEs). "North America" and "Europe" refers to the number of strains containing that particular in those continents (see Table S15). "Other" refers to the TEs which are neither from Europe or North America.																					
TE name	Chromosome	Start	End	Strand	Class	Order	SuperFamily	Family	TE present in REF	Number of genomes present (47)	Genomes	TE name (in strain)	TE length c	TE ratio vs family consensus sequence (in strains)	Recombination rate Comeron et al 2012	Recombination rate Fiston-Lavier et al 2011	Recombination classification	TE used in SFS analysis	Europe	North_America	Other
2L_3895552_3895552_roo	2L	3895552	3895552	#ERROR!	RNA	LTR	Pao	roo	NO	1	RAL-176	RAL-176_36_roo	8579	0.906	7.505604434	3.59	HRR	YES	1	0	0
2L_3896050_3896050_roo	2L	3896050	3896050	#ERROR!	RNA	LTR	Pao	roo	NO	1	RAL-176	RAL-176_38_roo	8870	0.937	7.505604434	3.59	HRR	YES	1	0	0
2L_3896051_3896051_297	2L	3896051	3896051	#ERROR!	RNA	LTR	Gypsy	297	NO	1	RAL-176	RAL-176_39_297	121	0.017	7.505604434	3.59	HRR	YES	1	0	0
2L_3905831_3905831_gypsy1	2L	3905831	3905831	-	RNA	LTR	Gypsy	gypsy1	NO	1	MUN-008	MUN-008_34_gypsy1	383	0.049	7.388329364	3.625	HRR	YES	0	1	0
2L_3906299_3906299_Copia	2L	3906299	3906299	-	RNA	LTR	Copia	Copia	NO	1	A4	A4_32_Copia	5144	0.956	7.388329364	3.625	HRR	YES	0	0	1
2L_3908394_3908394_roo	2L	3908394	3908394	-	RNA	LTR	Pao	roo	NO	1	MUN-008	MUN-008_35_roo	430	0.045	7.388329364	3.625	HRR	YES	0	1	0
2L_3908473_3908499_jockey	2L	3908473	3908499	-	RNA	LINE	Jockey	jockey	NO	3	RAL-177;LUN-007;TOM-007	RAL-177_34_jockey;LUN-007_44_jockey;TOM-007_50_jockey	5006;4419;344	0.995;0.878;0.068	7.388329364	3.625	HRR	YES	1	2	0
2L_3908830_3908830_jockey	2L	3908830	3908830	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	JUT-008	JUT-008_35_jockey	5006	0.995	7.388329364	3.625	HRR	YES	0	1	0
2L_3908875_3908875_roo	2L	3908875	3908875	-	RNA	LTR	Pao	roo	NO	1	MUN-009	MUN-009_31_roo	428	0.045	7.388329364	3.625	HRR	YES	0	1	0
2L_3910215_3910218_jockey	2L	3910215	3910218	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	STO-022	STO-022_39_jockey	5001	0.994	7.388329364	3.625	HRR	YES	0	1	0
2L_3910215_3910218_jockey.t1	2L	3910215	3910218	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	STO-022	STO-022_38_jockey	919	0.183	7.388329364	3.625	HRR	YES	0	1	0
2L_3915969_3915969_I-element	2L	3915969	3915969	-	RNA	LINE	I	I-element	NO	1	RAL-059	RAL-059_127_I-element	4850	0.89	7.388329364	3.625	HRR	YES	1	0	0
2L_3923117_3923117_412	2L	3923117	3923117	#ERROR!	RNA	LTR	Gypsy	412	NO	1	RAL-177	RAL-177_35_412	7565	0.972	7.388329364	3.625	HRR	YES	1	0	0
2L_3923563_3923566_G6	2L	3923563	3923566	#ERROR!	RNA	LINE	Jockey	G6	NO	1	B4	B4_38_G6	617	0.3	7.388329364	3.625	HRR	YES	1	0	0
2L_3923563_3923566_G6.t1	2L	3923563	3923566	#ERROR!	RNA	LINE	Jockey	G6	NO	1	B4	B4_39_G6	2961	1	7.388329364	3.625	HRR	YES	1	0	0
2L_3930324_3930326_Kepler	2L	3930324	3930326	-	RNA	TRIM	Gypsy	Kepler	NO	4	B4;A2;B6;AKA-017	A2_50_Kepler;B6_42_Kepler;B4_40_Kepler;AKA-017_46_Kepler	105;103;103;103	0.06;0.059000000000000004;0.059000000000000004;0.059	7.388329364	3.625	HRR	NO	3	1	0
2L_3931424_3931424_Blastopia	2L	3931424	3931424	#ERROR!	RNA	LTR	Gypsy	Blastopia	NO	1	MUN-009	MUN-009_32_Blastopia	4970	0.98	7.388329364	3.625	HRR	YES	0	1	0
2L_3933539_3933539_F-element	2L	3933539	3933539	#ERROR!	RNA	LINE	Jockey	F-element	NO	1	A4	A4_33_F-element	4694	0.992	7.388329364	3.625	HRR	YES	0	0	1
2L_3934432_3934432_roo	2L	3934432	3934432	#ERROR!	RNA	LTR	Pao	roo	NO	1	A4	A4_34_roo	9105	0.962	7.388329364	3.625	HRR	YES	0	0	1
2L_3934457_3934457_pogo	2L	3934457	3934457	-	DNA	TIR	TcMar-Pogo	pogo	NO	1	B3	B3_25_pogo	185	0.083	7.388329364	3.625	HRR	YES	0	0	1
2L_3937376_3937376_gypsy4	2L	3937376	3937376	-	RNA	LTR	Gypsy	gypsy4	NO	1	B2	B2_46_gypsy4	125	0.018	7.388329364	3.625	HRR	YES	0	0	1
2L_3940069_3940069_412	2L	3940069	3940069	#ERROR!	RNA	LTR	Gypsy	412	NO	1	A4	A4_35_412	7539	0.969	7.388329364	3.625	HRR	YES	0	0	1
2L_3948421_3948421_jockey	2L	3948421	3948421	-	RNA	LINE	Jockey	jockey	NO	1	STO-022	STO-022_41_jockey	4995	0.993	7.388329364	3.625	HRR	YES	0	1	0
2L_3953103_3953103_Transpac	2L	3953103	3953103	#ERROR!	RNA	LTR	Gypsy	Transpac	NO	1	RAL-059	RAL-059_128_Transpac	5268	0.996	7.388329364	3.625	HRR	YES	1	0	0
2L_3957773_3957773_297	2L	3957773	3957773	#ERROR!	RNA	LTR	Gypsy	297	NO	1	RAL-737	RAL-737_41_297	3286	0.455	7.388329364	3.625	HRR	YES	1	0	0
2L_3958036_3958036_roo	2L	3958036	3958036	-	RNA	LTR	Pao	roo	NO	1	JUT-008	JUT-008_36_roo	9073	0.958	7.388329364	3.625	HRR	YES	0	1	0
2L_3960439_3960439_jockey	2L	3960439	3960439	-	RNA	LINE	Jockey	jockey	NO	1	RAL-176	RAL-176_41_jockey	5013	0.996	7.388329364	3.625	HRR	YES	1	0	0
2L_3962255_3962255_Copia	2L	3962255	3962255	-	RNA	LTR	Copia	Copia	NO	1	MUN-008	MUN-008_36_Copia	276	0.051	7.388329364	3.625	HRR	YES	0	1	0
2L_3962938_3962938_mdg1	2L	3962938	3962938	-	RNA	LTR	Gypsy	mdg1	NO	1	AB8	AB8_39_mdg1	7254	0.755	7.388329364	3.625	HRR	YES	0	0	1
2L_3964814_3964814_297	2L	3964814	3964814	#ERROR!	RNA	LTR	Gypsy	297	NO	1	MUN-015	MUN-015_27_297	412	0.057	7.388329364	3.625	HRR	YES	0	1	0
2L_3966121_3966121_I-element	2L	3966121	3966121	#ERROR!	RNA	LINE	I	I-element	NO	1	RAL-855	RAL-855_34_I-element	5131	0.942	7.388329364	3.625	HRR	YES	1	0	0
2L_3968952_3968952_jockey	2L	3968952	3968952	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	RAL-177	RAL-177_36_jockey	2331	0.463	7.388329364	3.625	HRR	YES	1	0	0
2L_3970331_3970331_F-element	2L	3970331	3970331	-	RNA	LINE	Jockey	F-element	NO	1	JUT-011	JUT-011_39_F-element	4691	0.991	7.388329364	3.625	HRR	YES	0	1	0
2L_3978481_3978481_297	2L	3978481	3978481	-	RNA	LTR	Gypsy	297	NO	1	COR-018	COR-018_42_297	6474	0.896	7.388329364	3.625	HRR	YES	0	1	0
2L_3983530_3983530_jockey	2L	3983530	3983530	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	MUN-013	MUN-013_42_jockey	781	0.155	7.388329364	3.625	HRR	YES	0	1	0
2L_3988360_3988360_roo	2L	3988360	3988360	#ERROR!	RNA	LTR	Pao	roo	NO	1	RAL-177	RAL-177_37_roo	9095	0.961	7.388329364	3.625	HRR	YES	1	0	0
2L_3990258_3990258_jockey	2L	3990258	3990258	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	B6	B6_43_jockey	2631	0.523	7.388329364	3.625	HRR	YES	1	0	0
FBti0063042	2L	3994179	3994260	#ERROR!	DNA	Helitron	INE-1	INE-1	YES	47	A2;ORE;A6;B6;B4;B3;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	A2_51_INE-1;ORE_43_INE-1;A6_53_INE-1;B6_44_INE-1;B4_41_INE-1;B3_26_INE-1;JUT-008_37_INE-1;MUN-008_37_INE-1;AB8_40_INE-1;AKA-017_47_INE-1;MUN-013_43_INE-1;A3_35_INE-1;STO-022_42_INE-1;B2_47_INE-1;GIM-012_40_INE-1;AKA-018_41_INE-1;JUT-011_40_INE-1;COR-018_43_INE-1;TEN-015_38_INE-1;RAL-177_38_INE-1;A4_36_INE-1;A1_42_INE-1;RAL-375_30_INE-1;RAL-375_31_INE-1;SLA-001_47_INE-1;RAL-059_129_INE-1;A7_38_INE-1;MUN-015_28_INE-1;KIE-094_45_INE-1;GIM-024_38_INE-1;COR-014_37_INE-1;RAL-737_42_INE-1;LUN-007_45_INE-1;A5_38_INE-1;COR-025_43_INE-1;B1_40_INE-1;RAL-426_46_INE-1;COR-023_36_INE-1;RAL-091_57_INE-1;TOM-008_40_INE-1;RAL-176_42_INE-1;TOM-007_51_INE-1;MUN-009_33_INE-1;MUN-016_42_INE-1;MUN-020_35_INE-1;RAL-855_35_INE-1;FBti0063042;LUN-004_35_INE-1	144;120;144;144;139;139;139;144;139;144;144;144;144;144;144;144;139;145;144;139;139;139;119;139;144;141;144;139;144;144;140;144;144;144;144;139;139;141;140;155;145;144;156;144;143;139;81;144	0.215;0.179;0.215;0.215;0.207;0.207;0.207;0.215;0.207;0.215;0.215;0.215;0.215;0.215;0.215;0.215;0.207;0.216;0.215;0.207;0.207;0.207;0.178;0.207;0.215;0.21;0.215;0.207;0.215;0.215;0.209;0.215;0.215;0.215;0.215;0.207;0.207;0.21;0.209;0.231;0.216;0.215;0.233;0.215;0.213;0.207;.;0.215	7.388329364	3.625	HRR	YES	16	26	5
2L_3995371_3995371_pogo	2L	3995371	3995371	-	DNA	TIR	TcMar-Pogo	pogo	NO	1	RAL-177	RAL-177_39_pogo	186	0.083	7.388329364	3.625	HRR	YES	1	0	0
2L_4003110_4003110_Doc	2L	4003110	4003110	#ERROR!	RNA	LINE	Jockey	Doc	NO	1	B2	B2_48_Doc	4721	0.987	6.684678949	3.655	HRR	YES	0	0	1
2L_4003262_4003262_Copia	2L	4003262	4003262	#ERROR!	RNA	LTR	Copia	Copia	NO	1	A5	A5_39_Copia	5147	0.956	6.684678949	3.655	HRR	YES	0	1	0
2L_4005764_4005764_F-element	2L	4005764	4005764	#ERROR!	RNA	LINE	Jockey	F-element	NO	1	A1	A1_43_F-element	4694	0.992	6.684678949	3.655	HRR	YES	1	0	0
2L_4006613_4006613_Quasimodo	2L	4006613	4006613	-	RNA	LTR	Gypsy	Quasimodo	NO	1	TOM-008	TOM-008_41_Quasimodo	7376	0.98	6.684678949	3.655	HRR	YES	0	1	0
2L_4009486_4009492_pogo	2L	4009486	4009492	-	DNA	TIR	TcMar-Pogo	pogo	NO	4	SLA-001;RAL-176;MUN-020;A3	A3_36_pogo;SLA-001_48_pogo;RAL-176_43_pogo;MUN-020_36_pogo	186;189;187;186	0.083;0.085;0.084;0.083	6.684678949	3.655	HRR	YES	1	3	0
2L_4015330_4015332_pogo	2L	4015330	4015332	#ERROR!	DNA	TIR	TcMar-Pogo	pogo	NO	2	AB8;A3	AB8_41_pogo;A3_37_pogo	186;186	0.083;0.083	6.684678949	3.655	HRR	YES	0	1	1
2L_4019946_4020014_jockey	2L	4019946	4020014	#ERROR!	RNA	LINE	Jockey	jockey	NO	4	MUN-009;ORE;JUT-008;GIM-024	ORE_44_jockey;JUT-008_38_jockey;GIM-024_39_jockey;MUN-009_34_jockey	335;253;344;5001	0.067;0.05;0.068;0.994	6.684678949	3.655	HRR	YES	1	3	0
2L_4020377_4020381_jockey	2L	4020377	4020381	#ERROR!	RNA	LINE	Jockey	jockey	NO	2	RAL-059;RAL-176	RAL-059_130_jockey;RAL-176_44_jockey	557;556	0.111;0.11	6.684678949	3.655	HRR	YES	2	0	0
2L_4022400_4022400_Tirant	2L	4022400	4022400	-	RNA	LTR	Gypsy	Tirant	NO	1	B1	B1_41_Tirant	7206	0.81	6.684678949	3.655	HRR	YES	1	0	0
2L_4025460_4025460_Doc2	2L	4025460	4025460	-	RNA	LINE	Jockey	Doc2	NO	1	MUN-008	MUN-008_38_Doc2	108	0.022	6.684678949	3.655	HRR	NO	0	1	0
FBti0063043	2L	4030513	4030743	#ERROR!	DNA	Helitron	INE-1	INE-1	YES	46	A2;ORE;A6;B6;B4;B3;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;RAL-426;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	A2_52_INE-1;ORE_45_INE-1;A6_54_INE-1;B6_45_INE-1;B4_42_INE-1;B3_27_INE-1;JUT-008_39_INE-1;MUN-008_39_INE-1;AB8_42_INE-1;AKA-017_48_INE-1;MUN-013_44_INE-1;A3_38_INE-1;STO-022_43_INE-1;B2_49_INE-1;GIM-012_41_INE-1;AKA-018_42_INE-1;JUT-011_41_INE-1;COR-018_44_INE-1;TEN-015_39_INE-1;RAL-177_40_INE-1;A4_37_INE-1;A1_44_INE-1;RAL-375_32_INE-1;SLA-001_49_INE-1;RAL-059_131_INE-1;A7_39_INE-1;MUN-015_29_INE-1;KIE-094_46_INE-1;GIM-024_40_INE-1;COR-014_38_INE-1;RAL-737_43_INE-1;LUN-007_46_INE-1;A5_40_INE-1;COR-025_44_INE-1;B1_42_INE-1;RAL-426_47_INE-1;RAL-091_58_INE-1;TOM-008_42_INE-1;RAL-176_45_INE-1;TOM-007_52_INE-1;MUN-009_35_INE-1;MUN-016_43_INE-1;MUN-020_37_INE-1;RAL-855_36_INE-1;FBti0063043;LUN-004_36_INE-1	233;239;233;238;201;238;127;233;127;238;127;238;238;238;231;127;238;233;238;127;238;238;194;238;127;232;127;233;231;233;127;238;238;238;239;238;233;127;100;233;174;127;126;100;230;238	0.341;0.35;0.341;0.348;0.13;0.348;0.283;0.341;0.28300000000000003;0.348;0.283;0.348;0.348;0.348;0.338;0.283;0.348;0.341;0.348;0.283;0.348;0.348;0.284;0.348;0.283;0.34;0.283;0.341;0.338;0.341;0.283;0.348;0.348;0.348;0.35;0.348;0.341;0.283;0.065;0.341;0.26;0.283;0.281;0.065;.;0.348	6.684678949	3.655	HRR	YES	16	25	5
2L_4030607_4030607_Gypsy-2_Dsim	2L	4030607	4030607	-	RNA	LTR	Gypsy	Gypsy-2_Dsim	NO	1	COR-023	COR-023_37_Gypsy-2_Dsim	5222	1.03	6.684678949	3.655	HRR	YES	0	1	0
2L_4035422_4035422_FB4	2L	4035422	4035422	#ERROR!	DNA	TIR	TcMar-Tc1	FB4	NO	1	A5	A5_41_FB4	2377	0.681	6.684678949	3.655	HRR	YES	0	1	0
2L_4037136_4037136_Burdock	2L	4037136	4037136	-	RNA	LTR	Gypsy	Burdock	NO	1	RAL-855	RAL-855_37_Burdock	2293	0.355	6.684678949	3.655	HRR	YES	1	0	0
2L_4050628_4050628_412	2L	4050628	4050628	-	RNA	LTR	Gypsy	412	NO	1	B3	B3_28_412	7500	0.964	6.684678949	3.655	HRR	YES	0	0	1
2L_4057197_4057197_jockey	2L	4057197	4057197	-	RNA	LINE	Jockey	jockey	NO	1	B4	B4_43_jockey	316	0.063	6.684678949	3.655	HRR	YES	1	0	0
ISO1_44_Nomad	2L	4061737	4061838	#ERROR!	RNA	LTR	Gypsy	Nomad	YES	5	JUT-011;MUN-008;AKA-017;A5;ISO-1	MUN-008_40_Nomad;AKA-017_49_Nomad;JUT-011_42_Nomad;A5_42_Nomad;ISO1_44_Nomad	101;101;101;101;101	0.013;0.013;0.013;0.013000000000000001;0.013	6.684678949	3.655	HRR	NO	1	4	0
X_12938221_12938224_H	X	12938221	12938224	-	DNA	TIR	hAT-hobo	H	NO	2	A6;AKA-017	A6_1848_H;AKA-017_1688_H	1983;1972	0.659;0.655	3.978376006	4.06	HRR	YES	1	1	0
FBti0019119	2L	4181327	4183901	#ERROR!	RNA	LTR	Gypsy	Burdock	YES	2	A1;ISO-1	A1_47_Burdock;FBti0019119	2582;2574	0.39899999999999997;.	3.635527148	3.685	HRR	YES	2	0	0
2L_4069959_4069959_H	2L	4069959	4069959	#ERROR!	DNA	TIR	hAT-hobo	H	NO	1	RAL-737	RAL-737_44_H	1185	0.394	6.684678949	3.655	HRR	YES	1	0	0
2L_4070342_4070342_Max-element	2L	4070342	4070342	-	RNA	LTR	Pao	Max-element	NO	1	MUN-013	MUN-013_45_Max-element	8543	0.926	6.684678949	3.655	HRR	YES	0	1	0
2L_4073755_4073755_jockey	2L	4073755	4073755	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	RAL-426	RAL-426_48_jockey	5006	0.995	6.684678949	3.655	HRR	YES	1	0	0
2L_4075367_4075367_roo	2L	4075367	4075367	#ERROR!	RNA	LTR	Pao	roo	NO	1	MUN-015	MUN-015_30_roo	435	0.046	6.684678949	3.655	HRR	YES	0	1	0
2L_4085512_4085514_Tabor	2L	4085512	4085514	#ERROR!	RNA	LTR	Gypsy	Tabor	NO	5	RAL-426;JUT-011;RAL-176;RAL-375;A3	A3_39_Tabor;JUT-011_44_Tabor;RAL-375_33_Tabor;RAL-426_49_Tabor;RAL-176_46_Tabor	101;100;102;100;106	0.013000000000000001;0.013;0.014;0.013;0.014	6.684678949	3.655	HRR	NO	3	2	0
2L_4086602_4086602_Burdock	2L	4086602	4086602	-	RNA	LTR	Gypsy	Burdock	NO	1	RAL-375	RAL-375_34_Burdock	282	0.044	6.684678949	3.655	HRR	YES	1	0	0
2L_4089872_4089872_jockey	2L	4089872	4089872	-	RNA	LINE	Jockey	jockey	NO	1	COR-014	COR-014_39_jockey	295	0.059	6.684678949	3.655	HRR	YES	0	1	0
2L_4092458_4092458_297	2L	4092458	4092458	#ERROR!	RNA	LTR	Gypsy	297	NO	1	AKA-018	AKA-018_43_297	6226	0.862	6.684678949	3.655	HRR	YES	0	1	0
2L_4092476_4092476_Max-element	2L	4092476	4092476	-	RNA	LTR	Pao	Max-element	NO	1	B6	B6_46_Max-element	8595	0.932	6.684678949	3.655	HRR	YES	1	0	0
2L_4096954_4096954_Copia	2L	4096954	4096954	#ERROR!	RNA	LTR	Copia	Copia	NO	1	A6	A6_55_Copia	5186	0.964	6.684678949	3.655	HRR	YES	1	0	0
2L_4100496_4100496_F-element	2L	4100496	4100496	-	RNA	LINE	Jockey	F-element	NO	1	MUN-015	MUN-015_31_F-element	4688	0.99	3.635527148	3.685	HRR	YES	0	1	0
2L_4104362_4104362_Transpac	2L	4104362	4104362	-	RNA	LTR	Gypsy	Transpac	NO	1	JUT-011	JUT-011_45_Transpac	5250	0.992	3.635527148	3.685	HRR	YES	0	1	0
2L_4106345_4106429_jockey	2L	4106345	4106429	-	RNA	LINE	Jockey	jockey	NO	4	B1;RAL-059;COR-014;A4	A4_38_jockey;RAL-059_132_jockey;COR-014_40_jockey;B1_43_jockey	5005;5012;253;5005	0.995;0.996;0.05;0.995	3.635527148	3.685	HRR	YES	2	1	1
2L_4106391_4106391_412	2L	4106391	4106391	-	RNA	LTR	Gypsy	412	NO	1	TEN-015	TEN-015_40_412	7502	0.964	3.635527148	3.685	HRR	YES	0	1	0
2L_4107328_4107328_jockey	2L	4107328	4107328	#ERROR!	RNA	LINE	Jockey	jockey	NO	1	RAL-375	RAL-375_35_jockey	2304	0.458	3.635527148	3.685	HRR	YES	1	0	0
2L_4110851_4110851_Stalker4	2L	4110851	4110851	-	RNA	LTR	Gypsy	Stalker4	NO	1	COR-025	COR-025_45_Stalker4	5809	0.783	3.635527148	3.685	HRR	YES	0	1	0
2L_4110852_4110852_mdg1	2L	4110852	4110852	-	RNA	LTR	Gypsy	mdg1	NO	1	COR-025	COR-025_46_mdg1	847	0.088	3.635527148	3.685	HRR	YES	0	1	0
2L_4111347_4111347_Stalker4	2L	4111347	4111347	-	RNA	LTR	Gypsy	Stalker4	NO	1	COR-025	COR-025_47_Stalker4	445	0.06	3.635527148	3.685	HRR	YES	0	1	0
2L_4111380_4111380_roo	2L	4111380	4111380	-	RNA	LTR	Pao	roo	NO	1	A2	A2_53_roo	9098	0.961	3.635527148	3.685	HRR	YES	1	0	0
2L_4112546_4112546_F-element	2L	4112546	4112546	#ERROR!	RNA	LINE	Jockey	F-element	NO	1	TOM-007	TOM-007_53_F-element	1798	0.38	3.635527148	3.685	HRR	YES	0	1	0
ISO1_46_NewFam06	2L	4123145	4123410	#ERROR!	DNA	TIR	NewFam	NewFam06	YES	38	A2;ORE;A6;B6;B4;B3;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;A1;RAL-375;SLA-001;KIE-094;GIM-024;COR-014;LUN-007;A5;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;MUN-016;ISO-1;LUN-004	A2_54_NewFam06;ORE_46_NewFam06;A6_56_NewFam06;B6_47_NewFam06;B4_44_NewFam06;B3_29_NewFam06;MUN-008_41_NewFam06;AB8_43_NewFam06;AKA-017_51_NewFam06;MUN-013_46_NewFam06;A3_40_NewFam06;STO-022_44_NewFam06;B2_50_NewFam06;GIM-012_42_NewFam06;AKA-018_44_NewFam06;JUT-011_46_NewFam06;COR-018_45_NewFam06;TEN-015_41_NewFam06;RAL-177_41_NewFam06;A4_39_NewFam06;A1_46_NewFam06;RAL-375_36_NewFam06;SLA-001_50_NewFam06;KIE-094_47_NewFam06;GIM-024_41_NewFam06;COR-014_41_NewFam06;LUN-007_47_NewFam06;A5_43_NewFam06;COR-025_48_NewFam06;B1_44_NewFam06;RAL-426_50_NewFam06;COR-023_38_NewFam06;RAL-091_59_NewFam06;TOM-008_43_NewFam06;RAL-176_47_NewFam06;MUN-016_44_NewFam06;ISO1_46_NewFam06;LUN-004_37_NewFam06	265;248;248;265;257;314;266;274;308;248;271;265;206;257;267;265;248;265;265;257;265;248;289;248;248;276;266;265;265;248;311;289;265;248;274;265;265;265	0.061;0.057;0.057;0.061;0.059000000000000004;0.073;0.061;0.063;0.071;0.057;0.063;0.061;0.048;0.059;0.062;0.061;0.057;0.061;0.061;0.059000000000000004;0.061;0.057;0.067;0.057;0.057;0.064;0.061;0.061;0.061;0.057;0.072;0.067;0.061;0.057;0.063;0.061;0.061;0.061	3.635527148	3.685	HRR	YES	13	21	4
2L_4124831_4124831_hopper	2L	4124831	4124831	#ERROR!	DNA	TIR	CMC-Transib	hopper	NO	1	RAL-176	RAL-176_48_hopper	1443	0.993	3.635527148	3.685	HRR	YES	1	0	0
2L_4129603_4129603_Nomad	2L	4129603	4129603	#ERROR!	RNA	LTR	Gypsy	Nomad	NO	1	RAL-177	RAL-177_42_Nomad	7603	0.982	3.635527148	3.685	HRR	YES	1	0	0
2L_4129709_4129709_jockey	2L	4129709	4129709	-	RNA	LINE	Jockey	jockey	NO	1	MUN-020	MUN-020_38_jockey	5007	0.995	3.635527148	3.685	HRR	YES	0	1	0
2L_4135320_4135320_H	2L	4135320	4135320	-	DNA	TIR	hAT-hobo	H	NO	1	A6	A6_57_H	1972	0.655	3.635527148	3.685	HRR	YES	1	0	0
2L_4135729_4135729_F-element	2L	4135729	4135729	-	RNA	LINE	Jockey	F-element	NO	1	GIM-024	GIM-024_42_F-element	1009	0.213	3.635527148	3.685	HRR	YES	0	1	0
2L_4140514_4140565_Rt1a	2L	4140514	4140565	-	RNA	LINE	R1	Rt1a	NO	3	RAL-426;STO-022;RAL-375	STO-022_46_Rt1a;RAL-375_38_Rt1a;RAL-426_52_Rt1a	4817;4714;4818	0.886;0.867;0.886	3.635527148	3.685	HRR	YES	2	1	0
2L_4140515_4140517_Rt1b	2L	4140515	4140517	-	RNA	LINE	R1	Rt1b	NO	2	RAL-426;RAL-375	RAL-375_37_Rt1b;RAL-426_51_Rt1b	115;115	0.022;0.022	3.635527148	3.685	HRR	NO	2	0	0
2L_4140516_4140516_R2-element	2L	4140516	4140516	-	RNA	LINE	R2	R2-element	NO	1	STO-022	STO-022_45_R2-element	123	0.034	3.635527148	3.685	HRR	YES	0	1	0
2L_4141246_4141246_Ivk	2L	4141246	4141246	-	RNA	LINE	I	Ivk	NO	1	AKA-018	AKA-018_45_Ivk	5366	0.979	3.635527148	3.685	HRR	YES	0	1	0
2L_4142124_4142124_roo	2L	4142124	4142124	#ERROR!	RNA	LTR	Pao	roo	NO	1	B3	B3_30_roo	8080	0.853	3.635527148	3.685	HRR	YES	0	0	1
2L_4147288_4147288_F-element	2L	4147288	4147288	-	RNA	LINE	Jockey	F-element	NO	1	RAL-176	RAL-176_49_F-element	4696	0.992	3.635527148	3.685	HRR	YES	1	0	0
2L_4152418_4152418_297	2L	4152418	4152418	#ERROR!	RNA	LTR	Gypsy	297	NO	1	RAL-177	RAL-177_43_297	6772	0.937	3.635527148	3.685	HRR	YES	1	0	0
2L_4155024_4155024_Nomad	2L	4155024	4155024	-	RNA	LTR	Gypsy	Nomad	NO	1	A3	A3_41_Nomad	7547	0.975	3.635527148	3.685	HRR	YES	0	1	0
2L_4159852_4159852_Stalker2	2L	4159852	4159852	-	RNA	LTR	Gypsy	Stalker2	NO	1	RAL-177	RAL-177_44_Stalker2	1191	0.149	3.635527148	3.685	HRR	YES	1	0	0
2L_4161559_4161559_Doc	2L	4161559	4161559	-	RNA	LINE	Jockey	Doc	NO	1	COR-018	COR-018_46_Doc	2277	0.476	3.635527148	3.685	HRR	YES	0	1	0
2L_4170883_4170883_mdg1	2L	4170883	4170883	#ERROR!	RNA	LTR	Gypsy	mdg1	NO	1	B6	B6_48_mdg1	441	0.046	3.635527148	3.685	HRR	YES	1	0	0
2L_4179131_4179131_mdg1	2L	4179131	4179131	-	RNA	LTR	Gypsy	mdg1	NO	1	RAL-426	RAL-426_53_mdg1	7040	0.733	3.635527148	3.685	HRR	YES	1	0	0
2L_4179458_4179458_Doc	2L	4179458	4179458	#ERROR!	RNA	LINE	Jockey	Doc	NO	1	SLA-001	SLA-001_51_Doc	4722	0.987	3.635527148	3.685	HRR	YES	0	1	0
2L_4179713_4179811_jockey	2L	4179713	4179811	-	RNA	LINE	Jockey	jockey	NO	3	COR-025;ORE;AKA-017	ORE_47_jockey;AKA-017_52_jockey;COR-025_49_jockey	3411;5004;5005	0.6779999999999999;0.994;0.995	3.635527148	3.685	HRR	YES	1	2	0
2L_4180376_4180376_Tirant	2L	4180376	4180376	#ERROR!	RNA	LTR	Gypsy	Tirant	NO	1	RAL-375	RAL-375_39_Tirant	2649	0.298	3.635527148	3.685	HRR	YES	1	0	0
2L_4181326_4181328_Micropia	2L	4181326	4181328	-	RNA	LTR	Gypsy	Micropia	NO	1	TEN-015	TEN-015_42_Micropia	5343	1.157	3.635527148	3.685	HRR	YES	0	1	0
